PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4,0,5.641999999999999e-07,4.6368799999999996e-05
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8,0,1.7831999999999997e-06,4.8319400000000004e-05
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,0,8.9834e-06,5.8958e-05
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,0,5.73624e-05,0.00011475179999999999
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,0,0.00043995479999999994,0.00053677
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,0,0.0033935277999999998,0.0036434348
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,0,0.023964430999999998,0.024788375799999998
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,0,0.1681649556,0.1713222108
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,0,1.2868278468,1.3030199652
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4,4,0.0001162924,0.0001616182
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8,4,0.00013708419999999998,0.0001815652
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,4,0.0002578546,0.0003066362
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,4,0.00044120440000000003,0.0005009249999999999
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,4,0.0011532991999999998,0.0012087209999999998
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,4,0.0049534558,0.0050899046
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,4,0.0299138024,0.0302404046
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,4,0.15316470899999998,0.15439207919999998
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,4,1.0961347336,1.100021175
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4,8,0.0001625612,0.00019747179999999998
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8,8,0.0002155784,0.0002504458
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,8,0.0003156858,0.0003508524
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,8,0.0005199636,0.0005585108
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,8,0.0010438786,0.0010956772
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,8,0.0035445456,0.0036460177999999995
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,8,0.018501814999999998,0.0187804674
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,8,0.09598139879999999,0.0969471018
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,8,0.6069040938000001,0.6107348436
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4,12,0.0002258762,0.0002608242
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8,12,0.0002853066,0.000320284
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,12,0.0004932116,0.0005287060000000001
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,12,0.0007280124,0.0007721188000000001
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,12,0.0012939476000000001,0.001348767
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,12,0.0030826452000000002,0.0031788805999999996
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,12,0.0117966494,0.012069767999999998
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,12,0.0651143936,0.0661219374
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,12,0.4403178298,0.4441288774
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4,16,0.0042748818,0.0043094662
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8,16,0.0095030852,0.0095386004
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16,16,0.019634796200000002,0.019671084800000002
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32,16,0.0152078882,0.015249696600000001
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,64,16,0.0082180468,0.0082751598
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,128,16,0.003293328399999999,0.0033957455999999997
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,256,16,0.0110546434,0.0113442664
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,512,16,0.061126348,0.062176707
PI_SERIES,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1024,16,0.3453316512,0.34930809259999995
